Verein,Land,"Jugendspieler in Akademie","Jugendspieler befördert",Transfererlös
"Juneusse Kasserine",Tunesien,136,129,371506515
"Olympia Marseille",Frankreich,241,139,371423828
"SK Münchener Löwen",Deutschland,323,138,370953933
"TSK Hartberg",Österreich,263,89,370901330
"Esportivo La Coruña",Spanien,212,124,370402709
"Konyaaltı Antalya",Türkei,206,89,370238932
"Bandar FC",Iran,138,131,368446786
"Eintracht Osnabrück",Deutschland,250,135,368271901
"Afriqi Tunis",Tunesien,228,133,367125176
"SSC Oldenburg",Deutschland,262,129,366345858
"FC Mbour",Senegal,232,144,366163415
"Rudar Kerkrade",Niederlande,230,136,365925012
"Mandzu SK",Sansibar,192,127,364887297
"Dadyw Casablanca",Marokko,271,166,364590154
"CD Málaga",Spanien,289,132,364201705
"WFFK Rödinghausen",Deutschland,148,86,363738362
"Aero Broughton",Wales,265,160,363341167
"Victória Salvador",Brasilien,155,147,362957764
"DFC Fortuna Berlin",Deutschland,250,120,362747274
"Spartak Jablonek",Tschechien,257,132,362290298
"Union Kehl 1906",Deutschland,204,106,361995797
"Reelers Lae",Papua-Neuguinea,137,130,361867636
"Dundalk Soccer",Irland,236,145,361678088
"SC Hasselt-Kermt",Belgien,212,133,360992849
"FC Roma",Italien,302,141,360776012
"Alliance Lobatse",Botswana,137,129,360482964
"Union Rosenheim",Deutschland,222,112,359854585
"Aca Espargos",Kap Verde,130,122,359144279
"Concord Åsane",Norwegen,287,152,358205532
"Union Zulte Waregem",Belgien,197,155,356937077
"Ata Balıkesir",Türkei,280,160,356527295
"FV Martigues",Frankreich,200,117,356271816
"1. SC Pardubice",Tschechien,142,134,355889668
"Depor Valledupar 03",Kolumbien,138,130,355426105
"KF Göteborg",Schweden,325,140,354202518
"Rayo Paraná",Argentinien,133,126,353981753
"West Bromwich United",England,205,120,353747485
"AS Oostende",Belgien,292,150,353577131
"Gosford Skippers",Australien,263,170,353575536
"AK Toronto Fighters",Kanada,310,126,353394806
"Borussia Rehden",Deutschland,234,133,352991298
"AF Bray",Irland,245,159,352913015
"SH Eastleigh",England,243,131,352640874
"TSV Zell am See",Österreich,259,116,352358538
"Dire Dawa United",Äthiopien,135,127,352108275
"Udinese CF",Italien,337,195,351866054
"Tiraspol Cowboys ",Moldawien,126,120,351781541
"ASK Velenje",Slowenien,231,141,351739931
"SC Americano",Mexiko,239,151,351509654
"Abahuni FC",Bangladesch,139,131,351319995
"Haifa SC",Israel,340,141,350821100
"KIS Vaasa",Finnland,133,125,350451051
"Wattenscheider Kickers",Deutschland,226,105,349249933
"Ubwoho Musanze",Ruanda,130,123,349134193
"Young Boys Zürich",Schweiz,217,120,348823806
"Sportinho Lissabon",Portugal,350,182,348286013
"Barrow Bees",England,244,106,348197712
"Esportiva Ponferrada",Spanien,214,130,347913444
"Union Muzinga",Burundi,130,122,347598462
"Goloboseray FK",Türkei,268,83,347447179
"CS Marbella",Spanien,201,136,347182812
"BW Sandhausen",Deutschland,256,169,345738177
"FC Newtown 76",Wales,129,122,345725188
"Kleeblatt Oberhausen",Deutschland,202,128,344748504
"Stuttgarter Schützen",Deutschland,245,117,344701820
"QP Glasgow 1867",Schottland,297,114,344674661
"Uwlimbia Safi",Marokko,132,124,344342383
"1. FC Neckarelz",Deutschland,175,112,344214659
"FK Ibadan Stars",Nigeria,137,131,343916494
"FC Abu al nasr","Vereinigte Arabische Emirate",115,104,343442793
Giazantepspur,Türkei,295,146,343376455
"SSV Halberstadt 98",Deutschland,246,126,343129267
"SCE Papilon",Aruba,197,114,343084582
"VfB Achern",Deutschland,206,73,342619777
"MFC Brittons",Barbados,148,136,342457632
"Birku Konya",Türkei,210,147,341950024
"Torpeda Luzk",Ukraine,293,142,340822951
"SA Nantes",Frankreich,172,100,340583138
"Cape Town Beasts",Südafrika,127,117,340205600
"Þùllíá Akureyri",Island,124,116,339601672
"FC Belém",Portugal,171,89,338676098
"Campinas São Paulo PP",Brasilien,261,121,337940092
"Birmingham Villans",England,285,161,337192649
"ACF Hamilton",Schottland,243,134,337189745
"Sportfreunde VK Köln",Deutschland,241,128,337154577
"Arsenal Otjiwarongo",Namibia,134,126,336996636
"IF Finnsnes 23",Norwegen,116,108,336491106
"Sport Qäbälä",Aserbaidschan,207,116,336149281
"Beanos Stirling",Schottland,134,127,335792991
"OL Våluronga",Norwegen,220,138,335188949
"FT Tokio",Japan,320,130,335091034
"SFC Krasnoyarsk",Russland,171,117,334910369
"Unión Tudelano",Spanien,113,102,334864224
"Internacional Saci PA",Brasilien,204,101,334848711
"NorthYoung Alofi",Niue,161,132,334704476
"AS Jerez",Spanien,198,147,334474240
"Íþróttir Hafnarfjörður",Island,331,160,333943567
"Unión Madeira",Portugal,277,150,333731704
"Ngaen`azuko FC",Gabun,151,135,332702383
"FK Nijmegen 1900",Niederlande,204,128,332580834
"CQ Wanderers",Wales,131,121,332564583
"Inter Eichstätt",Deutschland,206,82,332279451
"ZS Luzern",Schweiz,309,138,332208528
"Buriram Universe",Thailand,232,140,332058932
"Athlético Penafiel",Portugal,159,150,331872980
"FC Wild Boys","Nördliche Marianen",151,141,331619901
"Columbus United","Vereinigte Staaten",225,123,331437949
"ASS Dundee",Schottland,191,126,330723502
"Los Piratas Córdoba",Argentinien,212,136,330162983
"FK Parndorf",Österreich,230,151,329835039
"BA Cervecero Quilmes",Argentinien,119,111,329755965
"Sportivo Libolo",Angola,182,140,329190434
"Énergie Cotonou",Benin,139,132,328249612
